,CO_MUNICIPIO,NO_MUNICIPIO,AFD_INF_12,AFD_FUN_12,AFD_MED_12,ATU_INF,ATU_AF,ATU_EM,HAD_INF,HAD_AI,HAD_EM,MEDIA_INSE,IED_1,IED_2,IED_3,IED_4,IED_56,IRD_0A2,IRD_2A3,IRD_3A4,IRD_4A5,TDI_FUN,TDI_MED,REGIAO
0,3500105.0,Adamantina,77.5,70.6,56.0,15.3,24.3,30.9,7.3,6.2,6.3,5.53,29.1,10.1,40.1,13.7,7.0,3.8,26.9,42.3,27.0,2.0,4.5,SP - Capital
1,3500204.0,Adolfo,66.7,80.8,59.6,15.9,19.9,22.8,9.5,5.6,4.5,5.23,34.2,2.6,31.6,21.1,10.5,0.0,20.0,80.0,0.0,6.8,16.9,SP - Capital
2,3500303.0,Aguaí,79.6,76.2,58.8,15.6,22.9,28.4,6.0,5.5,5.4,5.25,21.9,9.9,33.5,25.3,9.4,3.8,15.4,69.2,11.6,8.7,20.3,SP - Capital
3,3500402.0,Águas da Prata,65.9,73.0,61.8,12.5,17.9,21.3,5.8,4.9,4.6,5.47,25.5,13.7,11.8,41.2,7.8,12.5,37.5,50.0,0.0,10.1,11.7,SP - Capital
4,3500501.0,Águas de Lindóia,95.1,78.2,57.0,14.8,20.6,26.6,10.5,6.4,6.4,5.59,18.2,12.7,19.4,36.4,13.3,0.0,21.1,68.4,10.5,13.7,16.6,SP - Capital
5,3500550.0,Águas de Santa Bárbara,33.6,71.1,59.0,13.2,21.1,25.7,8.1,5.8,6.3,5.49,23.1,7.7,38.5,23.1,7.6,0.0,25.0,50.0,25.0,4.4,5.9,SP - Capital
6,3500600.0,Águas de São Pedro,51.7,85.6,42.6,12.4,20.5,22.5,9.2,9.2,6.0,5.83,8.5,23.4,36.2,21.3,10.6,0.0,33.3,66.7,0.0,2.7,11.1,SP - Capital
7,3500709.0,Agudos,90.2,80.10000000000001,68.5,16.2,24.6,25.5,7.5,6.2,5.4,5.31,15.5,11.8,20.5,42.1,10.1,0.0,50.0,46.4,3.6,4.3,10.4,SP - Capital
8,3500758.0,Alambari,92.9,92.0,60.7,13.4,20.1,25.2,5.9,5.7,7.0,5.22,35.6,4.8,31.0,23.8,4.8,14.3,57.1,28.6,0.0,7.4,2.6,SP - Capital
9,3500808.0,Alfredo Marcondes,88.2,84.4,44.8,21.0,23.2,18.3,8.8,5.2,5.2,5.5,16.6,6.7,16.7,46.7,13.3,0.0,66.7,0.0,33.3,5.8,3.9,SP - Capital
10,3500907.0,Altair,60.0,82.1,62.5,14.2,21.9,25.3,6.0,6.6,8.9,5.37,20.0,5.7,20.0,54.3,0.0,0.0,75.0,25.0,0.0,2.0,3.0,SP - Capital
11,3501004.0,Altinópolis,49.7,78.5,58.6,16.9,22.5,25.2,9.5,6.6,6.6,5.3,15.1,29.7,25.5,25.5,4.199999999999999,7.7,46.2,30.8,15.3,4.3,8.4,SP - Capital
12,3501103.0,Alto Alegre,52.9,88.9,52.8,15.0,20.4,13.8,8.3,6.5,5.2,5.21,19.4,25.8,51.6,3.2,0.0,25.0,25.0,50.0,0.0,1.9,11.7,SP - Capital
13,3501152.0,Alumínio,55.6,76.60000000000001,67.2,15.2,22.8,28.4,6.7,6.0,5.8,5.27,14.9,14.2,32.1,33.6,5.2,0.0,7.1,92.9,0.0,4.7,19.2,SP - Capital
14,3501202.0,Álvares Florence,31.7,73.5,50.0,13.1,17.9,34.7,9.3,6.0,8.9,5.28,20.6,17.9,15.4,41.0,5.1,0.0,33.3,66.7,0.0,2.8,2.9,SP - Capital
15,3501301.0,Álvares Machado,67.5,82.5,70.1,18.9,23.9,26.6,5.8,5.2,5.7,5.35,13.7,20.9,27.2,26.7,11.5,5.9,70.6,5.9,17.6,7.2,11.1,SP - Capital
16,3501400.0,Álvaro de Carvalho,90.0,80.0,56.5,20.8,19.8,21.8,8.8,5.3,5.6,5.12,37.5,6.3,12.5,37.5,6.2,20.0,0.0,60.0,20.0,2.5,5.7,SP - Capital
